name,source
MAP2K4,suppressors
TSC1,suppressors
BCL11B,suppressors
MDM4,suppressors
TSC2,suppressors
BLM,suppressors
MEN1,suppressors
VHL,suppressors
BMPR1A,suppressors
MLH1,suppressors
WRN,suppressors
BRCA1,suppressors
MSH2,suppressors
WT1,suppressors
BRCA2,suppressors
NF1,suppressors
CARS,suppressors
NF2,suppressors
CBFA2T3,suppressors
NOTCH1,suppressors
CDH1,suppressors
NPM1,suppressors
CDH11,suppressors
NR4A3,suppressors
CDK6,suppressors
NUP98,suppressors
CDKN2C,suppressors
PALB2,suppressors
CEBPA,suppressors
PML,suppressors
CHEK2,suppressors
PTEN,suppressors
CREB1,suppressors
RB1,suppressors
CREBBP,suppressors
RUNX1,suppressors
CYLD,suppressors
SDHB,suppressors
DDX5,suppressors
SDHD,suppressors
EXT1,suppressors
SMARCA4,suppressors
EXT2,suppressors
SMARCB1,suppressors
FBXW7,suppressors
SOCS1,suppressors
FH,suppressors
STK11,suppressors
FLT3,suppressors
SUFU,suppressors
FOXP1,suppressors
SUZ12,suppressors
GPC3,suppressors
SYK,suppressors
IDH1,suppressors
TCF3,suppressors
C1orf43,housekeeping genes
CHMP2A,housekeeping genes
EMC7,housekeeping genes
GPI,housekeeping genes
PSMB2,housekeeping genes
PSMB4,housekeeping genes
RAB7A,housekeeping genes
REEP5,housekeeping genes
SNRPD3,housekeeping genes
VCP,housekeeping genes
VPS29,housekeeping genes
